time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer	Index
1.702067	17.247609	TOM: I have tricks in my pocket, I have things up my sleeve. But I am the opposite of a stage magician. He gives you illusion that has the appearance of truth. I give you truth in the pleasant disguise of illusion.	Transcription	
18.731496	44.493823	TOM: To begin with, I turn bark time. I reverse it to that quaint period, the thirties, when the huge middle class of America was matriculating in a school for the blind. Their eyes had failed them or they had failed their eyes, and so they were having their fingers pressed forcibly down on the fiery Braille alphabet of a dissolving economy.	Transcription	Time
44.710313	67.436679	TOM: In Spain there was revolution. Here there was only shouting and confusion. In Spain there was Guernica. Here there were disturbances of labour, sometimes pretty violent, in otherwise peaceful cities such as Chicago, Cleveland, Saint Louis. . . .This is the social background of the play.	Transcription	
67.707292	156.71889	TOM: The play is memory. Being a memory play, it is dimly lighted, it is sentimental, it is not realistic. In memory everything seems to happen to music. That explains the fiddle in the wings. I am the narrator of the play, and also a character in it. The other characters are my mother Amanda, my sister Laura and a gentleman caller who appears in the final scenes. He is the most realistic character in the play, being an emissary from a world of reality that we were somehow set apart from. But since I have a poet's weakness for symbols, I am using this character also as a symbol; he is the long-delayed but always expected something that we live for. There is a fifth character in the play who doesn't appear except in this larger-thanlife-size photograph over the mantel. This is our father who left us a long time ago.He was a telephone man who fell in love with long distances; he gave up his job with the telephone company and skipped the light fantastic out of town. . . .The last we heard of him was a picture postcard from Mazatlan, on the Pacific coast of Mexico, containing a message of two words - 'Hello - Good-bye!' and no address.I think the rest of the play will explain itself ...	Transcription	Time
158.28913	161.324927	AMANDA: Tom? Tom?	Transcription	
161.420041	162.799962	TOM: Yes, Mother?	Transcription	
162.817504	165.498473	AMANDA: We can't say grace until you come to the table!	Transcription	
165.621133	166.679072	TOM: I'm coming.	Transcription	
174.92793	179.083025	AMANDA: For these and all thy mercies, God's holy name we praise. You know, Laura, I had the funniest experience in Church last Sunday. The Church was crowded except for one pew way down in front, and in that, was just one little woman. I smiled very sweetly at her and I said, 'Excuse me, but would you mind if I share this pew?' 'I certainly would,' she said, 'This space is rented.' Do you know, that's the first time I ever knew that the Lord rented space.	Transcription	
183.307948	209.741878	AMANDA: Tom, honey, don't push with your fingers. If you have to push with something, the thing to push with is a crust of bread. And chew !chew! Animals have sections in their stomachs which enable them to digest food without mastication, but human beings are supposed to chew their food before they swallow it down. Eat food leisurely, son, and really enjoy it. A well-cooked meal has lots of delicate flavours that have to be held in the mouth for appreciation. So chew your food and give your salivary glands a chance to function!	Transcription	
